,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,0.0338589873731339,0.833543788686755,ns,Ei,0.833543788686755,A,1,0
5,PAMPAHUTA,-70.6775,-15.491389,0.138582445015147,0.375480184374596,ns,Ei,0.833543788686755,A,1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,0.0992024349344473,0.547941365726965,ns,Ei,0.833543788686755,A,1,0
17,LAMPA,-70.372778,-15.355833,0.0543092448082957,0.732655994077526,ns,Ei,0.833543788686755,A,1,0
10,CABANILLAS,-70.346389,-15.6393,0.103728467591982,0.508010373294719,ns,Ei,0.833543788686755,A,1,0
16,HUANCANE,-69.7625,-15.203333,0.172587869608041,0.274407199291251,ns,Ei,0.833543788686755,A,1,0
2,HUARAYA MOHO,-69.491389,-15.389722,0.0395444141271373,0.806090060116789,ns,Ei,0.833543788686755,A,1,0
15,CAPACHICA,-69.8443,-15.6158,-0.0642484589853011,0.704718590770703,ns,Ei,0.833543788686755,A,-1,0
21,TARACO,-69.9825,-15.305,0.112980577625501,0.481860548419914,ns,Ei,0.833543788686755,A,1,0
23,MAZO CRUZ,-69.711667,-16.745556,-0.0467611336032389,0.776855373642542,ns,Ei,0.833543788686755,A,-1,0
1,DESAGUADERO,-69.0404,-16.5688,0.0434638778518122,0.781976682433794,ns,Ei,0.833543788686755,A,1,0
4,LARAQUERI,-70.067778,-16.1525,0.178650170165013,0.263753771953127,ns,Ei,0.833543788686755,A,1,0
14,PUTINA,-69.868028,-14.914889,0.123024310195719,0.443499830998678,ns,Ei,0.833543788686755,A,1,0
12,ICHUÑA,-70.53725,-16.14075,0.246508920841344,0.120256049377539,ns,Ei,0.833543788686755,A,1,0
22,CAPAZO,-69.745556,-17.186389,-0.102530881146917,0.518195590513432,ns,Ei,0.833543788686755,A,-1,0
71,PUNO,-70.018056,-15.823333,-0.0296485433474592,0.854003520356604,ns,Ci,0.985388677334543,A,-1,0
51,PAMPAHUTA,-70.6775,-15.491389,-0.0465224829083105,0.767047362813616,ns,Ci,0.95880920351702,A,-1,0
111,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.101748698664798,0.537663771998269,ns,Ci,0.841784956992304,A,-1,0
171,LAMPA,-70.372778,-15.355833,-0.230407784111841,0.142108664887326,ns,Ci,0.532907493327471,A,-1,0
101,CABANILLAS,-70.346389,-15.6393,-0.249660555672448,0.106402602153923,ns,Ci,0.532907493327471,A,-1,0
161,HUANCANE,-69.7625,-15.203333,-0.144758991057381,0.360367999221112,ns,Ci,0.772217141188097,A,-1,0
24,HUARAYA MOHO,-69.491389,-15.389722,-0.166296046163789,0.298738699880543,ns,Ci,0.746846749701357,A,-1,0
151,CAPACHICA,-69.8443,-15.6158,-0.104077761972499,0.538498276531493,ns,Ci,0.841784956992304,A,-1,0
211,TARACO,-69.9825,-15.305,-0.336407752403849,0.0315106567537811,s,Ci,0.472659851306716,A,-1,-11
231,MAZO CRUZ,-69.711667,-16.745556,0.0945344129554656,0.565750246744353,ns,Ci,0.841784956992304,A,1,0
13,DESAGUADERO,-69.0404,-16.5688,-0.206093117143759,0.184870984859373,ns,Ci,0.55461295457812,A,-1,0
41,LARAQUERI,-70.067778,-16.1525,-0.0028828633816359,0.98572781274493,ns,Ci,0.98572781274493,A,-1,0
141,PUTINA,-69.868028,-14.914889,0.00675186877054195,0.966581215878054,ns,Ci,0.98572781274493,A,1,0
