,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,-0.0235232622494201,0.883933705375119,ns,Ei,0.891483288115704,A,-1,0
5,PAMPAHUTA,-70.6775,-15.491389,0.139933546377798,0.370797166652623,ns,Ei,0.891483288115704,A,1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,0.0225777068225668,0.891483288115704,ns,Ei,0.891483288115704,A,1,0
17,LAMPA,-70.372778,-15.355833,0.0538919733306346,0.734635185423673,ns,Ei,0.891483288115704,A,1,0
10,CABANILLAS,-70.346389,-15.6393,0.0579239522463527,0.712164822022888,ns,Ei,0.891483288115704,A,1,0
16,HUANCANE,-69.7625,-15.203333,0.136785381579801,0.387704101207185,ns,Ei,0.891483288115704,A,1,0
2,HUARAYA MOHO,-69.491389,-15.389722,0.080942313500453,0.604753622285153,ns,Ei,0.891483288115704,A,1,0
15,CAPACHICA,-69.8443,-15.6158,0.0745702435590145,0.66092513010588,ns,Ei,0.891483288115704,A,1,0
21,TARACO,-69.9825,-15.305,0.0932136949264033,0.562140396192405,ns,Ei,0.891483288115704,A,1,0
23,MAZO CRUZ,-69.711667,-16.745556,0.129417094533374,0.406867904297099,ns,Ei,0.891483288115704,A,1,0
1,DESAGUADERO,-69.0404,-16.5688,0.0506759321216217,0.746907521324704,ns,Ei,0.891483288115704,A,1,0
4,LARAQUERI,-70.067778,-16.1525,0.0270093667918876,0.866877184289663,ns,Ei,0.891483288115704,A,1,0
14,PUTINA,-69.868028,-14.914889,0.0832026498081339,0.605030898765318,ns,Ei,0.891483288115704,A,1,0
12,ICHUÑA,-70.53725,-16.14075,0.0627286993317868,0.696815859946247,ns,Ei,0.891483288115704,A,1,0
22,CAPAZO,-69.745556,-17.186389,0.073542736333434,0.638271764546932,ns,Ei,0.891483288115704,A,1,0
71,PUNO,-70.018056,-15.823333,-0.169890227356923,0.288267313727838,ns,Ci,0.540501213239696,A,-1,0
51,PAMPAHUTA,-70.6775,-15.491389,-0.0286965718421821,0.855058122169218,ns,Ci,0.92620701185675,A,-1,0
111,CHUQUIBAMBILLA,-70.728333,-14.796389,0.0282474448587271,0.864459877732966,ns,Ci,0.92620701185675,A,1,0
171,LAMPA,-70.372778,-15.355833,-0.0960330652583488,0.545189503539342,ns,Ci,0.868973586473283,A,-1,0
101,CABANILLAS,-70.346389,-15.6393,-0.309557079866753,0.043382875908914,s,Ci,0.365176676212893,A,-1,-11
161,HUANCANE,-69.7625,-15.203333,-0.277946598826254,0.074709748272985,ns,Ci,0.373548741364925,A,-1,0
24,HUARAYA MOHO,-69.491389,-15.389722,-0.226064633041377,0.144628385802804,ns,Ci,0.397603595835488,A,-1,0
151,CAPACHICA,-69.8443,-15.6158,-0.0941315952080405,0.579468885513628,ns,Ci,0.868973586473283,A,-1,0
211,TARACO,-69.9825,-15.305,-0.224061330234308,0.159041438334195,ns,Ci,0.397603595835488,A,-1,0
231,MAZO CRUZ,-69.711667,-16.745556,-0.00981576562971912,0.950350672967651,ns,Ci,0.950350672967651,A,-1,0
13,DESAGUADERO,-69.0404,-16.5688,-0.233668157949773,0.131534572469397,ns,Ci,0.397603595835488,A,-1,0
41,LARAQUERI,-70.067778,-16.1525,-0.309823575199846,0.0486902234950523,s,Ci,0.365176676212893,A,-1,-11
141,PUTINA,-69.868028,-14.914889,-0.0758843015527588,0.637247296747074,ns,Ci,0.868973586473283,A,-1,0
121,ICHUÑA,-70.53725,-16.14075,-0.0377243427925885,0.814855500444592,ns,Ci,0.92620701185675,A,-1,0
221,CAPAZO,-69.745556,-17.186389,-0.184989429175476,0.234152086759631,ns,Ci,0.50175447162778,A,-1,0
72,PUNO,-70.018056,-15.823333,-0.0748388232305623,0.641905758586002,ns,C_Ei,0.937946879790645,A,-1,0
52,PAMPAHUTA,-70.6775,-15.491389,-0.0474248608339219,0.762658369657211,ns,C_Ei,0.937946879790645,A,-1,0
112,CHUQUIBAMBILLA,-70.728333,-14.796389,0.086058523763147,0.602424094163432,ns,C_Ei,0.937946879790645,A,1,0
172,LAMPA,-70.372778,-15.355833,-0.0436808625943038,0.783567993783011,ns,C_Ei,0.937946879790645,A,-1,0
102,CABANILLAS,-70.346389,-15.6393,-0.260620025035415,0.0914206567763102,ns,C_Ei,0.742205975249878,A,-1,0
162,HUANCANE,-69.7625,-15.203333,-0.249908836962148,0.110452938449299,ns,C_Ei,0.742205975249878,A,-1,0
25,HUARAYA MOHO,-69.491389,-15.389722,-0.167774086378738,0.281161106180798,ns,C_Ei,0.829774727849213,A,-1,0
152,CAPACHICA,-69.8443,-15.6158,-0.0758743336689496,0.655359468887947,ns,C_Ei,0.937946879790645,A,-1,0
212,TARACO,-69.9825,-15.305,-0.155414235279162,0.331909891139685,ns,C_Ei,0.829774727849213,A,-1,0
232,MAZO CRUZ,-69.711667,-16.745556,0.012987012987013,0.934217070790767,ns,C_Ei,0.937946879790645,A,1,0
18,DESAGUADERO,-69.0404,-16.5688,-0.182236995841242,0.242153886763109,ns,C_Ei,0.829774727849213,A,-1,0
42,LARAQUERI,-70.067778,-16.1525,-0.229753871710347,0.148441195049976,ns,C_Ei,0.742205975249878,A,-1,0
142,PUTINA,-69.868028,-14.914889,-0.0209095664439289,0.896756206350701,ns,C_Ei,0.937946879790645,A,-1,0
122,ICHUÑA,-70.53725,-16.14075,-0.0125457398663574,0.937946879790645,ns,C_Ei,0.937946879790645,A,-1,0
222,CAPAZO,-69.745556,-17.186389,-0.134400483237693,0.388914092876483,ns,C_Ei,0.833387341878177,A,-1,0
73,PUNO,-70.018056,-15.823333,-0.0454783070155454,0.777679931787332,ns,MEi,0.93101821743632,A,-1,0
53,PAMPAHUTA,-70.6775,-15.491389,0.0988521382668851,0.528260648451945,ns,MEi,0.93101821743632,A,1,0
113,CHUQUIBAMBILLA,-70.728333,-14.796389,0.0934494322745702,0.571499352801504,ns,MEi,0.93101821743632,A,1,0
173,LAMPA,-70.372778,-15.355833,0.000243121684198351,0.998780787147487,ns,MEi,0.998780787147487,A,1,0
103,CABANILLAS,-70.346389,-15.6393,-0.172110413519476,0.269763594641187,ns,MEi,0.887379670823721,A,-1,0
163,HUANCANE,-69.7625,-15.203333,-0.238077873863421,0.128942929946991,ns,MEi,0.887379670823721,A,-1,0
26,HUARAYA MOHO,-69.491389,-15.389722,-0.220779220779221,0.154447576023232,ns,MEi,0.887379670823721,A,-1,0
153,CAPACHICA,-69.8443,-15.6158,-0.0770598701325269,0.650315605552552,ns,MEi,0.93101821743632,A,-1,0
213,TARACO,-69.9825,-15.305,-0.115515289226552,0.47201921023413,ns,MEi,0.93101821743632,A,-1,0
233,MAZO CRUZ,-69.711667,-16.745556,-0.0607067351253398,0.698123685383008,ns,MEi,0.93101821743632,A,-1,0
19,DESAGUADERO,-69.0404,-16.5688,-0.157465452270613,0.313237440576237,ns,MEi,0.887379670823721,A,-1,0
43,LARAQUERI,-70.067778,-16.1525,-0.161097803865162,0.314309495755014,ns,MEi,0.887379670823721,A,-1,0
143,PUTINA,-69.868028,-14.914889,0.00426903648230216,0.978866579688846,ns,MEi,0.998780787147487,A,1,0
123,ICHUÑA,-70.53725,-16.14075,0.0393796834693995,0.806882455111477,ns,MEi,0.93101821743632,A,1,0
223,CAPAZO,-69.745556,-17.186389,-0.144216248867412,0.354951868329488,ns,MEi,0.887379670823721,A,-1,0
74,PUNO,-70.018056,-15.823333,0.0387731987182338,0.809801432025297,ns,SOi,0.941376960890926,A,1,0
54,PAMPAHUTA,-70.6775,-15.491389,-0.137149762493692,0.380484196275462,ns,SOi,0.740147191829249,A,-1,0
114,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.0994785634056374,0.546822332194093,ns,SOi,0.745666816628308,A,-1,0
174,LAMPA,-70.372778,-15.355833,-0.0370385379402061,0.815860032772136,ns,SOi,0.941376960890926,A,-1,0
