,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,-0.00936059689159432,0.953681161876214,ns,Ei,0.993911717419142,A,-1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.239531861141175,0.121851258820277,ns,Ei,0.378699618726586,A,-1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.254048582995951,0.11851730191999,ns,Ei,0.378699618726586,A,-1,0
17,LAMPA,-70.372778,-15.355833,-0.214370504815204,0.172799816523319,ns,Ei,0.431999541308298,A,-1,0
10,CABANILLAS,-70.346389,-15.6393,-0.0792368418433947,0.613505986392858,ns,Ei,0.915647187411525,A,-1,0
16,HUANCANE,-69.7625,-15.203333,-0.418521811127396,0.00580928797501958,s,Ei,0.0871393196252936,A,-1,-11
2,HUARAYA MOHO,-69.491389,-15.389722,-0.298331698642608,0.0581486307219423,ns,Ei,0.378699618726586,A,-1,0
15,CAPACHICA,-69.8443,-15.6158,0.0975674649905628,0.565640672641227,ns,Ei,0.915647187411525,A,1,0
21,TARACO,-69.9825,-15.305,-0.242728447626002,0.126233206242195,ns,Ei,0.378699618726586,A,-1,0
23,MAZO CRUZ,-69.711667,-16.745556,-0.0701118000169226,0.671474604101785,ns,Ei,0.915647187411525,A,-1,0
1,DESAGUADERO,-69.0404,-16.5688,-0.197023213951836,0.20538679508784,ns,Ei,0.440114560902515,A,-1,0
4,LARAQUERI,-70.067778,-16.1525,-0.132652398453497,0.408358881306618,ns,Ei,0.765672902449909,A,-1,0
14,PUTINA,-69.868028,-14.914889,0.0150668100005983,0.925509244651201,ns,Ei,0.993911717419142,A,1,0
12,ICHUÑA,-70.53725,-16.14075,-0.00122973099853611,0.993911717419142,ns,Ei,0.993911717419142,A,-1,0
22,CAPAZO,-69.745556,-17.186389,-0.00422749334296637,0.978802249466391,ns,Ei,0.993911717419142,A,-1,0
71,PUNO,-70.018056,-15.823333,0.0128598854491997,0.936396196640313,ns,Ci,0.954853222313356,A,1,0
51,PAMPAHUTA,-70.6775,-15.491389,-0.141369278806421,0.365859266598199,ns,Ci,0.914648166495498,A,-1,0
111,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.194939271255061,0.233456822240128,ns,Ci,0.704413042955866,A,-1,0
171,LAMPA,-70.372778,-15.355833,-0.300638589738942,0.0530419167314025,ns,Ci,0.397814375485519,A,-1,0
