,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,-0.0219550447661254,0.891623911229313,ns,Ei,0.891623911229313,A,-1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.27832521634213,0.0707286012401506,ns,Ei,0.353643006200753,A,-1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.180566801619433,0.270258382001351,ns,Ei,0.579125104288608,A,-1,0
17,LAMPA,-70.372778,-15.355833,-0.106406257117478,0.50241899684575,ns,Ei,0.782570331958092,A,-1,0
10,CABANILLAS,-70.346389,-15.6393,-0.0222054390798477,0.88760341096775,ns,Ei,0.891623911229313,A,-1,0
16,HUANCANE,-69.7625,-15.203333,-0.371190043460183,0.0155139095914047,s,Ei,0.23270864387107,A,-1,-11
2,HUARAYA MOHO,-69.491389,-15.389722,-0.305226480836237,0.0527393461061409,ns,Ei,0.353643006200753,A,-1,0
15,CAPACHICA,-69.8443,-15.6158,0.188737405001512,0.263254469921113,ns,Ei,0.579125104288608,A,1,0
21,TARACO,-69.9825,-15.305,-0.193143705094732,0.226313666997354,ns,Ei,0.579125104288608,A,-1,0
23,MAZO CRUZ,-69.711667,-16.745556,0.0480817899011575,0.771304211892407,ns,Ei,0.891623911229313,A,1,0
1,DESAGUADERO,-69.0404,-16.5688,-0.178042887345213,0.252423084468866,ns,Ei,0.579125104288608,A,-1,0
4,LARAQUERI,-70.067778,-16.1525,-0.10297961473635,0.521713554638728,ns,Ei,0.782570331958092,A,-1,0
14,PUTINA,-69.868028,-14.914889,-0.0284071122170441,0.860054665384458,ns,Ei,0.891623911229313,A,-1,0
12,ICHUÑA,-70.53725,-16.14075,0.0419915497770234,0.794341668814805,ns,Ei,0.891623911229313,A,1,0
22,CAPAZO,-69.745556,-17.186389,-0.108589951734191,0.493638145647142,ns,Ei,0.782570331958092,A,-1,0
71,PUNO,-70.018056,-15.823333,-0.0879944254515343,0.584325304016139,ns,Ci,0.847955928025554,A,-1,0
51,PAMPAHUTA,-70.6775,-15.491389,-0.330124212112803,0.0306183969318969,s,Ci,0.114818988494614,A,-1,-11
111,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.232591093117409,0.153811272707833,ns,Ci,0.384528181769583,A,-1,0
171,LAMPA,-70.372778,-15.355833,-0.133716926309093,0.398539141865124,ns,Ci,0.674444055723872,A,-1,0
