,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,0.00348432055749129,0.983102906808837,ns,Ei,0.983102906808837,A,1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.245403405619078,0.112702698219543,ns,Ei,0.532806873607106,A,-1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.239271255060729,0.142081832961895,ns,Ei,0.532806873607106,A,-1,0
17,LAMPA,-70.372778,-15.355833,-0.0328174378089296,0.83621686246146,ns,Ei,0.964865610532453,A,-1,0
10,CABANILLAS,-70.346389,-15.6393,-0.0123079246510492,0.937563081076654,ns,Ei,0.983102906808837,A,-1,0
16,HUANCANE,-69.7625,-15.203333,-0.415444453447857,0.00660319496728113,s,Ei,0.099047924509217,A,-1,-11
2,HUARAYA MOHO,-69.491389,-15.389722,-0.24198606271777,0.127261929509924,ns,Ei,0.532806873607106,A,-1,0
15,CAPACHICA,-69.8443,-15.6158,0.0974395448079658,0.564840851487732,ns,Ei,0.929432121500854,A,1,0
21,TARACO,-69.9825,-15.305,-0.214469271513163,0.17813036904356,ns,Ei,0.534391107130681,A,-1,0
23,MAZO CRUZ,-69.711667,-16.745556,0.0352226720647773,0.831096322557423,ns,Ei,0.964865610532453,A,1,0
1,DESAGUADERO,-69.0404,-16.5688,-0.0907580791301722,0.561520923412034,ns,Ei,0.929432121500854,A,-1,0
4,LARAQUERI,-70.067778,-16.1525,-0.170905923344948,0.284268798213789,ns,Ei,0.641623417552447,A,-1,0
14,PUTINA,-69.868028,-14.914889,-0.079616724738676,0.619621414333903,ns,Ei,0.929432121500854,A,-1,0
12,ICHUÑA,-70.53725,-16.14075,-0.165679442508711,0.299424261524475,ns,Ei,0.641623417552447,A,-1,0
22,CAPAZO,-69.745556,-17.186389,-0.052426869783648,0.740890949728216,ns,Ei,0.964865610532453,A,-1,0
71,PUNO,-70.018056,-15.823333,-0.128048780487805,0.423604561492256,ns,Ci,0.866076299701261,A,-1,0
51,PAMPAHUTA,-70.6775,-15.491389,-0.189149394177166,0.224446611935832,ns,Ci,0.866076299701261,A,-1,0
111,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.120242914979757,0.464516516529848,ns,Ci,0.866076299701261,A,-1,0
171,LAMPA,-70.372778,-15.355833,0.0438376144558788,0.782262237889357,ns,Ci,0.91898846465673,A,1,0
101,CABANILLAS,-70.346389,-15.6393,-0.140295239273922,0.369549462340853,ns,Ci,0.866076299701261,A,-1,0
161,HUANCANE,-69.7625,-15.203333,0.151122275342355,0.338190450625641,ns,Ci,0.866076299701261,A,1,0
24,HUARAYA MOHO,-69.491389,-15.389722,-0.014808362369338,0.926873680035923,ns,Ci,0.956502370509618,A,-1,0
151,CAPACHICA,-69.8443,-15.6158,0.0742057847321005,0.661451035045715,ns,Ci,0.91898846465673,A,1,0
211,TARACO,-69.9825,-15.305,0.103488828008788,0.519645779820757,ns,Ci,0.866076299701261,A,1,0
231,MAZO CRUZ,-69.711667,-16.745556,-0.3,0.0638944311562478,ns,Ci,0.866076299701261,A,-1,0
13,DESAGUADERO,-69.0404,-16.5688,-0.00860767139836907,0.956502370509618,ns,Ci,0.956502370509618,A,-1,0
41,LARAQUERI,-70.067778,-16.1525,-0.152264808362369,0.340673776669068,ns,Ci,0.866076299701261,A,-1,0
141,PUTINA,-69.868028,-14.914889,0.0552264808362369,0.730888435716376,ns,Ci,0.91898846465673,A,1,0
121,ICHUÑA,-70.53725,-16.14075,-0.196864111498258,0.216548688821131,ns,Ci,0.866076299701261,A,-1,0
221,CAPAZO,-69.745556,-17.186389,0.0409205088728628,0.796456669369166,ns,Ci,0.91898846465673,A,1,0
72,PUNO,-70.018056,-15.823333,-0.156794425087108,0.326367492711844,ns,C_Ei,0.977904940457324,A,-1,0
52,PAMPAHUTA,-70.6775,-15.491389,-0.091894136811821,0.557824526280918,ns,C_Ei,0.977904940457324,A,-1,0
112,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.0487854251012146,0.76743947697193,ns,C_Ei,0.977904940457324,A,-1,0
172,LAMPA,-70.372778,-15.355833,0.0125597601490965,0.937198455641674,ns,C_Ei,0.977904940457324,A,1,0
102,CABANILLAS,-70.346389,-15.6393,-0.159852002983258,0.305866118992739,ns,C_Ei,0.977904940457324,A,-1,0
162,HUANCANE,-69.7625,-15.203333,0.318855846365773,0.0400651514322587,s,C_Ei,0.30048863574194,A,1,11
25,HUARAYA MOHO,-69.491389,-15.389722,0.0486062717770035,0.76218682607564,ns,C_Ei,0.977904940457324,A,1,0
152,CAPACHICA,-69.8443,-15.6158,0.0436225699383594,0.797202182185136,ns,C_Ei,0.977904940457324,A,1,0
212,TARACO,-69.9825,-15.305,0.138072215819806,0.389300491498453,ns,C_Ei,0.977904940457324,A,1,0
232,MAZO CRUZ,-69.711667,-16.745556,-0.334817813765182,0.0377600722740442,s,C_Ei,0.30048863574194,A,-1,-11
18,DESAGUADERO,-69.0404,-16.5688,-0.0120809423135005,0.938824273932912,ns,C_Ei,0.977904940457324,A,-1,0
42,LARAQUERI,-70.067778,-16.1525,-0.0695121951219512,0.664871186377311,ns,C_Ei,0.977904940457324,A,-1,0
142,PUTINA,-69.868028,-14.914889,0.00452961672473868,0.977904940457324,ns,C_Ei,0.977904940457324,A,1,0
122,ICHUÑA,-70.53725,-16.14075,-0.105226480836237,0.511302013961394,ns,C_Ei,0.977904940457324,A,-1,0
222,CAPAZO,-69.745556,-17.186389,0.0660400291710558,0.676828883580534,ns,C_Ei,0.977904940457324,A,1,0
73,PUNO,-70.018056,-15.823333,-0.191114982578397,0.23047416136146,ns,MEi,0.568221699503743,A,-1,0
53,PAMPAHUTA,-70.6775,-15.491389,-0.332464983058708,0.0293867562312013,s,MEi,0.194630909557176,A,-1,-11
113,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.191295546558704,0.242442822211139,ns,MEi,0.568221699503743,A,-1,0
173,LAMPA,-70.372778,-15.355833,0.0704156875455798,0.656685887576755,ns,MEi,0.963183028278999,A,1,0
103,CABANILLAS,-70.346389,-15.6393,-0.173745611178307,0.26517012643508,ns,MEi,0.568221699503743,A,-1,0
163,HUANCANE,-69.7625,-15.203333,-0.0138562515193258,0.930688846592691,ns,MEi,0.963183028278999,A,-1,0
26,HUARAYA MOHO,-69.491389,-15.389722,-0.104006968641115,0.516233474435159,ns,MEi,0.963183028278999,A,-1,0
153,CAPACHICA,-69.8443,-15.6158,0.0564248458985301,0.739384207347483,ns,MEi,0.963183028278999,A,1,0
213,TARACO,-69.9825,-15.305,0.0290082320933725,0.857123600577297,ns,MEi,0.963183028278999,A,1,0
233,MAZO CRUZ,-69.711667,-16.745556,-0.339473684210526,0.0350547797219116,s,MEi,0.194630909557176,A,-1,-11
19,DESAGUADERO,-69.0404,-16.5688,-0.0848686197523407,0.587286474306201,ns,MEi,0.963183028278999,A,-1,0
43,LARAQUERI,-70.067778,-16.1525,-0.253484320557491,0.10976013480779,ns,MEi,0.411600505529211,A,-1,0
143,PUTINA,-69.868028,-14.914889,-0.00749128919860627,0.963183028278999,ns,MEi,0.963183028278999,A,-1,0
123,ICHUÑA,-70.53725,-16.14075,-0.324564459930314,0.0389261819114353,s,MEi,0.194630909557176,A,-1,-11
