,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,-0.0463818833642413,0.773377778151322,ns,Ei,0.978456970588837,A,-1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.216671794058966,0.162838865883963,ns,Ei,0.48851659765189,A,-1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.280360649824705,0.0838542016030268,ns,Ei,0.399531133250159,A,-1,0
17,LAMPA,-70.372778,-15.355833,-0.103202282172615,0.515444796759422,ns,Ei,0.966925411022697,A,-1,0
10,CABANILLAS,-70.346389,-15.6393,-0.0867528449048372,0.580155246613618,ns,Ei,0.966925411022697,A,-1,0
16,HUANCANE,-69.7625,-15.203333,-0.292999351559686,0.0596854419983666,ns,Ei,0.399531133250159,A,-1,0
2,HUARAYA MOHO,-69.491389,-15.389722,-0.255749128919861,0.106541635533376,ns,Ei,0.399531133250159,A,-1,0
15,CAPACHICA,-69.8443,-15.6158,-0.0188769072034056,0.911701634598193,ns,Ei,0.978456970588837,A,-1,0
21,TARACO,-69.9825,-15.305,-0.258495393952869,0.102708837712836,ns,Ei,0.399531133250159,A,-1,0
23,MAZO CRUZ,-69.711667,-16.745556,0.0199625205209678,0.903990658184484,ns,Ei,0.978456970588837,A,1,0
1,DESAGUADERO,-69.0404,-16.5688,-0.101328903654485,0.516655997866586,ns,Ei,0.966925411022697,A,-1,0
4,LARAQUERI,-70.067778,-16.1525,-0.15027242261016,0.348349122564307,ns,Ei,0.870872806410767,A,-1,0
14,PUTINA,-69.868028,-14.914889,-0.0288730218404247,0.857782723162448,ns,Ei,0.978456970588837,A,-1,0
12,ICHUÑA,-70.53725,-16.14075,-0.0153430436902459,0.92414746253231,ns,Ei,0.978456970588837,A,-1,0
22,CAPAZO,-69.745556,-17.186389,0.00429636870569768,0.978456970588837,ns,Ei,0.978456970588837,A,1,0
71,PUNO,-70.018056,-15.823333,-0.115082868497741,0.473690569806498,ns,Ci,0.917241795268285,A,-1,0
51,PAMPAHUTA,-70.6775,-15.491389,-0.199138534128139,0.200465406135916,ns,Ci,0.917241795268285,A,-1,0
111,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.158209297336051,0.336075862904939,ns,Ci,0.917241795268285,A,-1,0
171,LAMPA,-70.372778,-15.355833,-0.0592622688673853,0.709296673117237,ns,Ci,0.917241795268285,A,-1,0
101,CABANILLAS,-70.346389,-15.6393,0.026449038080743,0.866302773174572,ns,Ci,0.991912605434918,A,1,0
161,HUANCANE,-69.7625,-15.203333,0.107584432628584,0.497671592112463,ns,Ci,0.917241795268285,A,1,0
24,HUARAYA MOHO,-69.491389,-15.389722,-0.0127177700348432,0.937235924042838,ns,Ci,0.991912605434918,A,-1,0
151,CAPACHICA,-69.8443,-15.6158,-0.0968777124401195,0.568404494250162,ns,Ci,0.917241795268285,A,-1,0
211,TARACO,-69.9825,-15.305,0.0642094532397271,0.690012246483925,ns,Ci,0.917241795268285,A,1,0
231,MAZO CRUZ,-69.711667,-16.745556,-0.216446415394859,0.185675349247655,ns,Ci,0.917241795268285,A,-1,0
13,DESAGUADERO,-69.0404,-16.5688,0.00166112956810631,0.991912605434918,ns,Ci,0.991912605434918,A,1,0
41,LARAQUERI,-70.067778,-16.1525,-0.131183292359797,0.413615330064364,ns,Ci,0.917241795268285,A,-1,0
141,PUTINA,-69.868028,-14.914889,-0.0813852851272393,0.612965632707212,ns,Ci,0.917241795268285,A,-1,0
121,ICHUÑA,-70.53725,-16.14075,-0.139482215365872,0.384429005443568,ns,Ci,0.917241795268285,A,-1,0
221,CAPAZO,-69.745556,-17.186389,0.0540693948434029,0.733793436214628,ns,Ci,0.917241795268285,A,1,0
72,PUNO,-70.018056,-15.823333,-0.0921534787894794,0.566615123441629,ns,C_Ei,0.908399515007651,A,-1,0
52,PAMPAHUTA,-70.6775,-15.491389,-0.120692310816941,0.440745032628951,ns,C_Ei,0.908399515007651,A,-1,0
112,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.0190418360430074,0.908399515007651,ns,C_Ei,0.908399515007651,A,-1,0
172,LAMPA,-70.372778,-15.355833,-0.0544791308876647,0.731850683574361,ns,C_Ei,0.908399515007651,A,-1,0
102,CABANILLAS,-70.346389,-15.6393,0.0238041342726687,0.879568797305838,ns,C_Ei,0.908399515007651,A,1,0
162,HUANCANE,-69.7625,-15.203333,0.193116894138121,0.220445206542077,ns,C_Ei,0.908399515007651,A,1,0
25,HUARAYA MOHO,-69.491389,-15.389722,0.0843205574912892,0.599012105085204,ns,C_Ei,0.908399515007651,A,1,0
152,CAPACHICA,-69.8443,-15.6158,-0.102338956033558,0.546692579642229,ns,C_Ei,0.908399515007651,A,-1,0
212,TARACO,-69.9825,-15.305,0.131472345152539,0.412578071787517,ns,C_Ei,0.908399515007651,A,1,0
232,MAZO CRUZ,-69.711667,-16.745556,-0.27035535406062,0.095993039235197,ns,C_Ei,0.908399515007651,A,-1,0
18,DESAGUADERO,-69.0404,-16.5688,0.019782543038357,0.899741620630469,ns,C_Ei,0.908399515007651,A,1,0
