,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,-0.142682926829268,0.372198981600791,ns,Ei,0.774966166421903,A,-1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.0794321957112655,0.611531555390266,ns,Ei,0.774966166421903,A,-1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.254048582995951,0.11851730191999,ns,Ei,0.592586509599951,A,-1,0
17,LAMPA,-70.372778,-15.355833,0.101944894986278,0.520602383671506,ns,Ei,0.774966166421903,A,1,0
10,CABANILLAS,-70.346389,-15.6393,-0.0279371790999698,0.858618177972791,ns,Ei,0.858618177972791,A,-1,0
16,HUANCANE,-69.7625,-15.203333,-0.300717151091612,0.0529768201180788,ns,Ei,0.592586509599951,A,-1,0
2,HUARAYA MOHO,-69.491389,-15.389722,-0.211429567837739,0.1845080525201,ns,Ei,0.691905196950375,A,-1,0
15,CAPACHICA,-69.8443,-15.6158,0.083708800077107,0.622316156216102,ns,Ei,0.774966166421903,A,1,0
21,TARACO,-69.9825,-15.305,-0.0682353005952415,0.671637344232316,ns,Ei,0.774966166421903,A,-1,0
23,MAZO CRUZ,-69.711667,-16.745556,0.124455712155837,0.450320719657532,ns,Ei,0.774966166421903,A,1,0
1,DESAGUADERO,-69.0404,-16.5688,-0.0306565485173372,0.845275152645592,ns,Ei,0.858618177972791,A,-1,0
4,LARAQUERI,-70.067778,-16.1525,-0.135110414344807,0.399650160849191,ns,Ei,0.774966166421903,A,-1,0
14,PUTINA,-69.868028,-14.914889,0.083623693379791,0.602046238337569,ns,Ei,0.774966166421903,A,1,0
12,ICHUÑA,-70.53725,-16.14075,-0.25805889919549,0.10331139785125,ns,Ei,0.592586509599951,A,-1,0
22,CAPAZO,-69.745556,-17.186389,-0.127785430678227,0.418645669773262,ns,Ei,0.774966166421903,A,-1,0
71,PUNO,-70.018056,-15.823333,-0.172996515679443,0.278350325851475,ns,Ci,0.695875814628688,A,-1,0
