,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,0.0645554738273327,0.688425827918618,ns,Ei,0.794337493752251,A,1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.000302069177286127,0.998466123936305,ns,Ei,0.998466123936305,A,-1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.301609814459312,0.0620430367528113,ns,Ei,0.310215183764056,A,-1,0
17,LAMPA,-70.372778,-15.355833,-0.0895498203463928,0.572774468527003,ns,Ei,0.794337493752251,A,-1,0
10,CABANILLAS,-70.346389,-15.6393,-0.125490788281486,0.42134591322123,ns,Ei,0.794337493752251,A,-1,0
16,HUANCANE,-69.7625,-15.203333,-0.349675852039578,0.0232101651713259,s,Ei,0.310215183764056,A,-1,-11
2,HUARAYA MOHO,-69.491389,-15.389722,-0.243258555106291,0.125381931945158,ns,Ei,0.470182244794344,A,-1,0
15,CAPACHICA,-69.8443,-15.6158,-0.018853383172591,0.911811240364596,ns,Ei,0.976940614676353,A,-1,0
21,TARACO,-69.9825,-15.305,-0.107844418413199,0.502126537813216,ns,Ei,0.794337493752251,A,-1,0
23,MAZO CRUZ,-69.711667,-16.745556,0.0678343657897747,0.681574282400055,ns,Ei,0.794337493752251,A,1,0
1,DESAGUADERO,-69.0404,-16.5688,-0.217918224189741,0.160374331218114,ns,Ei,0.481122993654341,A,-1,0
4,LARAQUERI,-70.067778,-16.1525,-0.0703022914071098,0.662275067176295,ns,Ei,0.794337493752251,A,-1,0
14,PUTINA,-69.868028,-14.914889,0.193396638071603,0.225694465716544,ns,Ei,0.56423616429136,A,1,0
12,ICHUÑA,-70.53725,-16.14075,-0.320383275261324,0.0416277015922002,s,Ei,0.310215183764056,A,-1,-11
22,CAPAZO,-69.745556,-17.186389,0.0702536261243011,0.65742772584191,ns,Ei,0.794337493752251,A,1,0
71,PUNO,-70.018056,-15.823333,-0.111512829283382,0.487607900565766,ns,Ci,0.812679834276277,A,-1,0
51,PAMPAHUTA,-70.6775,-15.491389,0.188113580154936,0.227041634311638,ns,Ci,0.681124902934915,A,1,0
111,CHUQUIBAMBILLA,-70.728333,-14.796389,0.0726941412493406,0.660091273631301,ns,Ci,0.881295755369107,A,1,0
171,LAMPA,-70.372778,-15.355833,0.0236638439286395,0.881749501196843,ns,Ci,0.945710527677131,A,1,0
101,CABANILLAS,-70.346389,-15.6393,-0.155089096949562,0.319532971433003,ns,Ci,0.736184309511049,A,-1,0
161,HUANCANE,-69.7625,-15.203333,0.224716370267845,0.152501470852772,ns,Ci,0.681124902934915,A,1,0
24,HUARAYA MOHO,-69.491389,-15.389722,-0.0623829245902952,0.698407993918225,ns,Ci,0.881295755369107,A,-1,0
151,CAPACHICA,-69.8443,-15.6158,0.244145383348207,0.145323983096486,ns,Ci,0.681124902934915,A,1,0
211,TARACO,-69.9825,-15.305,0.137113985930836,0.392631631739226,ns,Ci,0.736184309511049,A,1,0
231,MAZO CRUZ,-69.711667,-16.745556,-0.220309820833656,0.17775557837437,ns,Ci,0.681124902934915,A,-1,0
13,DESAGUADERO,-69.0404,-16.5688,0.0594253785299122,0.705036604295286,ns,Ci,0.881295755369107,A,1,0
41,LARAQUERI,-70.067778,-16.1525,-0.0237825595466431,0.882663159165322,ns,Ci,0.945710527677131,A,-1,0
141,PUTINA,-69.868028,-14.914889,-0.151319801950619,0.344960803881211,ns,Ci,0.736184309511049,A,-1,0
121,ICHUÑA,-70.53725,-16.14075,0.201393728222997,0.205999213529813,ns,Ci,0.681124902934915,A,1,0
221,CAPAZO,-69.745556,-17.186389,-8.10307106393323e-05,1,ns,Ci,1,A,-1,0
72,PUNO,-70.018056,-15.823333,-0.156379319190367,0.32887897421332,ns,C_Ei,0.49331846131998,A,-1,0
52,PAMPAHUTA,-70.6775,-15.491389,0.157906662426323,0.311866265029135,ns,C_Ei,0.49331846131998,A,1,0
112,CHUQUIBAMBILLA,-70.728333,-14.796389,0.180925390546757,0.270355260199123,ns,C_Ei,0.49331846131998,A,1,0
172,LAMPA,-70.372778,-15.355833,0.0265813041390198,0.867293584703914,ns,C_Ei,0.867293584703914,A,1,0
102,CABANILLAS,-70.346389,-15.6393,-0.0916641498036847,0.557604708986464,ns,C_Ei,0.69700588623308,A,-1,0
162,HUANCANE,-69.7625,-15.203333,0.319448947564314,0.0391918110430946,s,C_Ei,0.235467826556804,A,1,11
25,HUARAYA MOHO,-69.491389,-15.389722,0.0767588778827515,0.633360886311395,ns,C_Ei,0.730801022666994,A,1,0
152,CAPACHICA,-69.8443,-15.6158,0.219481838065824,0.191819472374385,ns,C_Ei,0.49331846131998,A,1,0
212,TARACO,-69.9825,-15.305,0.166470665256561,0.298224392518575,ns,C_Ei,0.49331846131998,A,1,0
232,MAZO CRUZ,-69.711667,-16.745556,-0.307583288461695,0.0568025497724894,ns,C_Ei,0.235467826556804,A,-1,0
18,DESAGUADERO,-69.0404,-16.5688,0.178502661810308,0.252103414766989,ns,C_Ei,0.49331846131998,A,1,0
42,LARAQUERI,-70.067778,-16.1525,-0.0473037722850813,0.76899531938665,ns,C_Ei,0.823923556485696,A,-1,0
142,PUTINA,-69.868028,-14.914889,-0.293231118805863,0.0627914204151477,ns,C_Ei,0.235467826556804,A,-1,0
122,ICHUÑA,-70.53725,-16.14075,0.375261324041812,0.0161486330965812,s,C_Ei,0.235467826556804,A,1,11
222,CAPAZO,-69.745556,-17.186389,-0.122113280933474,0.439732957108902,ns,C_Ei,0.599635850603049,A,-1,0
73,PUNO,-70.018056,-15.823333,-0.115084724596365,0.47368338908058,ns,MEi,0.728012719573878,A,-1,0
53,PAMPAHUTA,-70.6775,-15.491389,0.177767710832886,0.254093424042547,ns,MEi,0.637936474173599,A,1,0
113,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.108737475907788,0.509940878523341,ns,MEi,0.728012719573878,A,-1,0
173,LAMPA,-70.372778,-15.355833,0.0386563477875379,0.807965008541714,ns,MEi,0.925488590719224,A,1,0
103,CABANILLAS,-70.346389,-15.6393,-0.189217758985201,0.223487763436281,ns,MEi,0.637936474173599,A,-1,0
163,HUANCANE,-69.7625,-15.203333,0.0615883308343173,0.698415128735068,ns,MEi,0.873018910918835,A,1,0
26,HUARAYA MOHO,-69.491389,-15.389722,-0.205009806649392,0.198507495005149,ns,MEi,0.637936474173599,A,-1,0
153,CAPACHICA,-69.8443,-15.6158,0.308175741292856,0.0635002236525443,ns,MEi,0.637936474173599,A,1,0
213,TARACO,-69.9825,-15.305,0.10000435568526,0.533875994354177,ns,MEi,0.728012719573878,A,1,0
233,MAZO CRUZ,-69.711667,-16.745556,-0.262022893528264,0.1070949961671,ns,MEi,0.637936474173599,A,-1,0
19,DESAGUADERO,-69.0404,-16.5688,-0.177370030707451,0.25517458966944,ns,MEi,0.637936474173599,A,-1,0
43,LARAQUERI,-70.067778,-16.1525,-0.0150709992731475,0.925488590719224,ns,MEi,0.925488590719224,A,-1,0
143,PUTINA,-69.868028,-14.914889,0.0248279467794626,0.877543777713814,ns,MEi,0.925488590719224,A,1,0
123,ICHUÑA,-70.53725,-16.14075,0.10383275261324,0.516939918693038,ns,MEi,0.728012719573878,A,1,0
223,CAPAZO,-69.745556,-17.186389,0.154363503767928,0.327835433122404,ns,MEi,0.702504499548008,A,1,0
74,PUNO,-70.018056,-15.823333,0.130037029093114,0.417743242485369,ns,SOi,0.590629212815154,A,1,0
54,PAMPAHUTA,-70.6775,-15.491389,-0.127898195365126,0.413736662170904,ns,SOi,0.590629212815154,A,-1,0
114,CHUQUIBAMBILLA,-70.728333,-14.796389,0.0919354051626654,0.577774987907393,ns,SOi,0.722218734884241,A,1,0
174,LAMPA,-70.372778,-15.355833,-0.0660128865476978,0.677881896045446,ns,SOi,0.73459296633978,A,-1,0
104,CABANILLAS,-70.346389,-15.6393,0.162576455949423,0.297587655712735,ns,SOi,0.590629212815154,A,1,0
164,HUANCANE,-69.7625,-15.203333,-0.12958910770727,0.413388147478443,ns,SOi,0.590629212815154,A,-1,0
27,HUARAYA MOHO,-69.491389,-15.389722,0.172221497571756,0.28160408414756,ns,SOi,0.590629212815154,A,1,0
154,CAPACHICA,-69.8443,-15.6158,-0.304773203754583,0.066632701305245,ns,SOi,0.590629212815154,A,-1,0
214,TARACO,-69.9825,-15.305,-0.168742921857305,0.291583732580495,ns,SOi,0.590629212815154,A,-1,0
234,MAZO CRUZ,-69.711667,-16.745556,0.245038482140849,0.132708899389118,ns,SOi,0.590629212815154,A,1,0
