,NOMBRE,LONGITUD,LATITUD,cor,pvalue,sig,names.modos,p.value.FDR,type,figura,color.fill
7,PUNO,-70.018056,-15.823333,0.0763066202090592,0.634301584158199,ns,Ei,0.792876980197749,A,1,0
5,PAMPAHUTA,-70.6775,-15.491389,-0.214285714285714,0.167174443769617,ns,Ei,0.67520030102015,A,-1,0
11,CHUQUIBAMBILLA,-70.728333,-14.796389,-0.188866396761134,0.248562805708867,ns,Ei,0.67520030102015,A,-1,0
17,LAMPA,-70.372778,-15.355833,0.18450692812576,0.24122128999132,ns,Ei,0.67520030102015,A,1,0
10,CABANILLAS,-70.346389,-15.6393,0.0813953488372093,0.602726652275691,ns,Ei,0.792876980197749,A,1,0
16,HUANCANE,-69.7625,-15.203333,-0.350619884936391,0.0233482685823323,s,Ei,0.350224028734984,A,-1,-11
2,HUARAYA MOHO,-69.491389,-15.389722,-0.0911149825783972,0.569789305872309,ns,Ei,0.792876980197749,A,-1,0
15,CAPACHICA,-69.8443,-15.6158,0.19606448553817,0.243853477960423,ns,Ei,0.67520030102015,A,1,0
21,TARACO,-69.9825,-15.305,-0.0909407665505227,0.570530285282687,ns,Ei,0.792876980197749,A,-1,0
23,MAZO CRUZ,-69.711667,-16.745556,0.0408906882591093,0.804337263975263,ns,Ei,0.804337263975263,A,1,0
1,DESAGUADERO,-69.0404,-16.5688,-0.159317426759287,0.306388819286796,ns,Ei,0.67520030102015,A,-1,0
4,LARAQUERI,-70.067778,-16.1525,-0.141114982578397,0.377519710938255,ns,Ei,0.707849458009229,A,-1,0
14,PUTINA,-69.868028,-14.914889,-0.0458188153310105,0.775482282042427,ns,Ei,0.804337263975263,A,-1,0
12,ICHUÑA,-70.53725,-16.14075,-0.160452961672474,0.315093473809404,ns,Ei,0.67520030102015,A,-1,0
22,CAPAZO,-69.745556,-17.186389,-0.0517786240985333,0.743989657142367,ns,Ei,0.804337263975263,A,-1,0
71,PUNO,-70.018056,-15.823333,-0.0790940766550523,0.621929760371332,ns,Ci,0.839698455450486,A,-1,0
51,PAMPAHUTA,-70.6775,-15.491389,-0.0625188764723649,0.689551863667129,ns,Ci,0.839698455450486,A,-1,0
111,CHUQUIBAMBILLA,-70.728333,-14.796389,0.0995951417004049,0.545039004698016,ns,Ci,0.839698455450486,A,1,0
171,LAMPA,-70.372778,-15.355833,0.0574507738432866,0.71701774159794,ns,Ci,0.839698455450486,A,1,0
101,CABANILLAS,-70.346389,-15.6393,-0.221383267894896,0.153301104815264,ns,Ci,0.574879143057241,A,-1,0
161,HUANCANE,-69.7625,-15.203333,0.166356048942549,0.291281972742467,ns,Ci,0.748560653811189,A,1,0
24,HUARAYA MOHO,-69.491389,-15.389722,0.0423344947735192,0.792191507558777,ns,Ci,0.839698455450486,A,1,0
151,CAPACHICA,-69.8443,-15.6158,0.308677098150782,0.0634632254540374,ns,Ci,0.574879143057241,A,1,0
211,TARACO,-69.9825,-15.305,0.165679442508711,0.299424261524476,ns,Ci,0.748560653811189,A,1,0
231,MAZO CRUZ,-69.711667,-16.745556,-0.285627530364372,0.0782184390741003,ns,Ci,0.574879143057241,A,-1,0
