,NOMBRE,LONGITUD,LATITUD,var,cor,pvalue,p.value.FDR,type,names.modos,sign_cor,pval_NO_fdr,pval_fdr
1,PUNO,-70.018056,-15.823333,CDDm,-0.0235232622494201,0.883933705375119,0.891483288115704,A,Ei,-1,0,0
2,PAMPAHUTA,-70.6775,-15.491389,CDDm,0.139933546377798,0.370797166652623,0.891483288115704,A,Ei,1,0,0
3,CHUQUIBAMBILLA,-70.728333,-14.796389,CDDm,0.0225777068225668,0.891483288115704,0.891483288115704,A,Ei,1,0,0
4,LAMPA,-70.372778,-15.355833,CDDm,0.0538919733306346,0.734635185423673,0.891483288115704,A,Ei,1,0,0
5,CABANILLAS,-70.346389,-15.6393,CDDm,0.0579239522463527,0.712164822022888,0.891483288115704,A,Ei,1,0,0
6,HUANCANE,-69.7625,-15.203333,CDDm,0.136785381579801,0.387704101207185,0.891483288115704,A,Ei,1,0,0
7,HUARAYA MOHO,-69.491389,-15.389722,CDDm,0.080942313500453,0.604753622285153,0.891483288115704,A,Ei,1,0,0
8,CAPACHICA,-69.8443,-15.6158,CDDm,0.0745702435590145,0.66092513010588,0.891483288115704,A,Ei,1,0,0
9,TARACO,-69.9825,-15.305,CDDm,0.0932136949264033,0.562140396192405,0.891483288115704,A,Ei,1,0,0
10,MAZO CRUZ,-69.711667,-16.745556,CDDm,0.129417094533374,0.406867904297099,0.891483288115704,A,Ei,1,0,0
11,DESAGUADERO,-69.0404,-16.5688,CDDm,0.0506759321216217,0.746907521324704,0.891483288115704,A,Ei,1,0,0
12,LARAQUERI,-70.067778,-16.1525,CDDm,0.0270093667918876,0.866877184289663,0.891483288115704,A,Ei,1,0,0
13,PUTINA,-69.868028,-14.914889,CDDm,0.0832026498081339,0.605030898765318,0.891483288115704,A,Ei,1,0,0
14,ICHUÑA,-70.53725,-16.14075,CDDm,0.0627286993317868,0.696815859946247,0.891483288115704,A,Ei,1,0,0
15,CAPAZO,-69.745556,-17.186389,CDDm,0.073542736333434,0.638271764546932,0.891483288115704,A,Ei,1,0,0
16,PUNO,-70.018056,-15.823333,CDDm,-0.169890227356923,0.288267313727838,0.540501213239696,A,Ci,-1,0,0
17,PAMPAHUTA,-70.6775,-15.491389,CDDm,-0.0286965718421821,0.855058122169218,0.92620701185675,A,Ci,-1,0,0
18,CHUQUIBAMBILLA,-70.728333,-14.796389,CDDm,0.0282474448587271,0.864459877732966,0.92620701185675,A,Ci,1,0,0
19,LAMPA,-70.372778,-15.355833,CDDm,-0.0960330652583488,0.545189503539342,0.868973586473283,A,Ci,-1,0,0
20,CABANILLAS,-70.346389,-15.6393,CDDm,-0.309557079866753,0.043382875908914,0.365176676212893,A,Ci,-1,1,0
21,HUANCANE,-69.7625,-15.203333,CDDm,-0.277946598826254,0.074709748272985,0.373548741364925,A,Ci,-1,0,0
22,HUARAYA MOHO,-69.491389,-15.389722,CDDm,-0.226064633041377,0.144628385802804,0.397603595835488,A,Ci,-1,0,0
23,CAPACHICA,-69.8443,-15.6158,CDDm,-0.0941315952080405,0.579468885513628,0.868973586473283,A,Ci,-1,0,0
24,TARACO,-69.9825,-15.305,CDDm,-0.224061330234308,0.159041438334195,0.397603595835488,A,Ci,-1,0,0
25,MAZO CRUZ,-69.711667,-16.745556,CDDm,-0.00981576562971912,0.950350672967651,0.950350672967651,A,Ci,-1,0,0
26,DESAGUADERO,-69.0404,-16.5688,CDDm,-0.233668157949773,0.131534572469397,0.397603595835488,A,Ci,-1,0,0
27,LARAQUERI,-70.067778,-16.1525,CDDm,-0.309823575199846,0.0486902234950523,0.365176676212893,A,Ci,-1,1,0
28,PUTINA,-69.868028,-14.914889,CDDm,-0.0758843015527588,0.637247296747074,0.868973586473283,A,Ci,-1,0,0
29,ICHUÑA,-70.53725,-16.14075,CDDm,-0.0377243427925885,0.814855500444592,0.92620701185675,A,Ci,-1,0,0
30,CAPAZO,-69.745556,-17.186389,CDDm,-0.184989429175476,0.234152086759631,0.50175447162778,A,Ci,-1,0,0
31,PUNO,-70.018056,-15.823333,CDDm,-0.0748388232305623,0.641905758586002,0.937946879790645,A,C_Ei,-1,0,0
32,PAMPAHUTA,-70.6775,-15.491389,CDDm,-0.0474248608339219,0.762658369657211,0.937946879790645,A,C_Ei,-1,0,0
33,CHUQUIBAMBILLA,-70.728333,-14.796389,CDDm,0.086058523763147,0.602424094163432,0.937946879790645,A,C_Ei,1,0,0
34,LAMPA,-70.372778,-15.355833,CDDm,-0.0436808625943038,0.783567993783011,0.937946879790645,A,C_Ei,-1,0,0
35,CABANILLAS,-70.346389,-15.6393,CDDm,-0.260620025035415,0.0914206567763102,0.742205975249878,A,C_Ei,-1,0,0
36,HUANCANE,-69.7625,-15.203333,CDDm,-0.249908836962148,0.110452938449299,0.742205975249878,A,C_Ei,-1,0,0
37,HUARAYA MOHO,-69.491389,-15.389722,CDDm,-0.167774086378738,0.281161106180798,0.829774727849213,A,C_Ei,-1,0,0
38,CAPACHICA,-69.8443,-15.6158,CDDm,-0.0758743336689496,0.655359468887947,0.937946879790645,A,C_Ei,-1,0,0
39,TARACO,-69.9825,-15.305,CDDm,-0.155414235279162,0.331909891139685,0.829774727849213,A,C_Ei,-1,0,0
40,MAZO CRUZ,-69.711667,-16.745556,CDDm,0.012987012987013,0.934217070790767,0.937946879790645,A,C_Ei,1,0,0
41,DESAGUADERO,-69.0404,-16.5688,CDDm,-0.182236995841242,0.242153886763109,0.829774727849213,A,C_Ei,-1,0,0
42,LARAQUERI,-70.067778,-16.1525,CDDm,-0.229753871710347,0.148441195049976,0.742205975249878,A,C_Ei,-1,0,0
43,PUTINA,-69.868028,-14.914889,CDDm,-0.0209095664439289,0.896756206350701,0.937946879790645,A,C_Ei,-1,0,0
44,ICHUÑA,-70.53725,-16.14075,CDDm,-0.0125457398663574,0.937946879790645,0.937946879790645,A,C_Ei,-1,0,0
45,CAPAZO,-69.745556,-17.186389,CDDm,-0.134400483237693,0.388914092876483,0.833387341878177,A,C_Ei,-1,0,0
46,PUNO,-70.018056,-15.823333,CDDm,-0.0454783070155454,0.777679931787332,0.93101821743632,A,MEi,-1,0,0
47,PAMPAHUTA,-70.6775,-15.491389,CDDm,0.0988521382668851,0.528260648451945,0.93101821743632,A,MEi,1,0,0
48,CHUQUIBAMBILLA,-70.728333,-14.796389,CDDm,0.0934494322745702,0.571499352801504,0.93101821743632,A,MEi,1,0,0
49,LAMPA,-70.372778,-15.355833,CDDm,0.000243121684198351,0.998780787147487,0.998780787147487,A,MEi,1,0,0
50,CABANILLAS,-70.346389,-15.6393,CDDm,-0.172110413519476,0.269763594641187,0.887379670823721,A,MEi,-1,0,0
51,HUANCANE,-69.7625,-15.203333,CDDm,-0.238077873863421,0.128942929946991,0.887379670823721,A,MEi,-1,0,0
52,HUARAYA MOHO,-69.491389,-15.389722,CDDm,-0.220779220779221,0.154447576023232,0.887379670823721,A,MEi,-1,0,0
53,CAPACHICA,-69.8443,-15.6158,CDDm,-0.0770598701325269,0.650315605552552,0.93101821743632,A,MEi,-1,0,0
54,TARACO,-69.9825,-15.305,CDDm,-0.115515289226552,0.47201921023413,0.93101821743632,A,MEi,-1,0,0
55,MAZO CRUZ,-69.711667,-16.745556,CDDm,-0.0607067351253398,0.698123685383008,0.93101821743632,A,MEi,-1,0,0
56,DESAGUADERO,-69.0404,-16.5688,CDDm,-0.157465452270613,0.313237440576237,0.887379670823721,A,MEi,-1,0,0
57,LARAQUERI,-70.067778,-16.1525,CDDm,-0.161097803865162,0.314309495755014,0.887379670823721,A,MEi,-1,0,0
58,PUTINA,-69.868028,-14.914889,CDDm,0.00426903648230216,0.978866579688846,0.998780787147487,A,MEi,1,0,0
59,ICHUÑA,-70.53725,-16.14075,CDDm,0.0393796834693995,0.806882455111477,0.93101821743632,A,MEi,1,0,0
60,CAPAZO,-69.745556,-17.186389,CDDm,-0.144216248867412,0.354951868329488,0.887379670823721,A,MEi,-1,0,0
61,PUNO,-70.018056,-15.823333,CDDm,0.0387731987182338,0.809801432025297,0.941376960890926,A,SOi,1,0,0
62,PAMPAHUTA,-70.6775,-15.491389,CDDm,-0.137149762493692,0.380484196275462,0.740147191829249,A,SOi,-1,0,0
63,CHUQUIBAMBILLA,-70.728333,-14.796389,CDDm,-0.0994785634056374,0.546822332194093,0.745666816628308,A,SOi,-1,0,0
