,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,0.0749441322128088,1,0.784269634052783,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
PAMPAHUTA,0.670068414918012,1,0.413027755500387,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
CHUQUIBAMBILLA,4.37469011184748,1,0.0364764624117686,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
LAMPA,2.74370223111877,1,0.0976383199110257,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
CABANILLAS,0.978449863636029,1,0.322581809725278,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
HUANCANE,0.275508430600803,1,0.599660377676747,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
HUARAYA MOHO,0.782348704714988,1,0.376423783591217,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
CAPACHICA,0.386000289771294,1,0.534409347922078,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
TARACO,2.46736917554195,1,0.11623232676781,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
MAZO CRUZ,2.26982977631901,1,0.131914390663154,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
DESAGUADERO,1.77596431089713,1,0.182645667694295,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
LARAQUERI,0.0144027136945919,1,0.904474191380786,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
PUTINA,0.0235754245663268,1,0.877970155835026,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
ICHUÑA,0.186045749843377,1,0.666228287405867,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
CAPAZO,0.771850121366281,1,0.379645310337822,Box-Ljung test,as.numeric(data.indices.wind$CDD[, i])
