,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,0.444937053971781,1,0.504749124823758,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
PAMPAHUTA,0.322357046303244,1,0.570194577758874,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
CHUQUIBAMBILLA,0.331824028782292,1,0.564587002696453,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
LAMPA,1.42166208730697,1,0.233130025309976,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
CABANILLAS,0.69222345386104,1,0.405409129764777,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
HUANCANE,0.350888372870983,1,0.553610674058014,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
HUARAYA MOHO,0.0272676033938091,1,0.868842407705072,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
CAPACHICA,0.507542892317095,1,0.476204458081967,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
TARACO,0.017639145883689,1,0.894341710865867,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
MAZO CRUZ,5.98286087465626,1,0.0144455515298043,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
DESAGUADERO,0.00660276552704993,1,0.935237249475658,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
LARAQUERI,0.118541696027677,1,0.730621551327513,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
PUTINA,0.253783315429099,1,0.614423637553502,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
ICHUÑA,0.0114739425444598,1,0.914696564882174,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
CAPAZO,0.0174057952938348,1,0.895038848901198,Box-Ljung test,as.numeric(data.indices.wind$CDDm[, i])
