,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,1.29342660700335,1,0.255417429668189,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
PAMPAHUTA,0.249512730359114,1,0.617418388115037,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
CHUQUIBAMBILLA,0.137471177264525,1,0.710808059862529,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
LAMPA,3.32984355925805,1,0.0680333453353896,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
CABANILLAS,0.107954194626991,1,0.742485386051643,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
HUANCANE,1.76564046050417,1,0.183922527907766,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
HUARAYA MOHO,1.50018163327471,1,0.22064341679069,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
CAPACHICA,1.06003502138937,1,0.303207197523645,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
TARACO,1.13151918367848,1,0.287451526139941,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
MAZO CRUZ,0.505945773216829,1,0.476899186361074,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
DESAGUADERO,0.0676718283042452,1,0.794757253865456,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
LARAQUERI,3.68701814701621,1,0.0548375700475741,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
PUTINA,0.0294765349058756,1,0.863683357121987,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
ICHUÑA,0.211275087627797,1,0.645769833914516,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
CAPAZO,0.123674336189415,1,0.725083045267399,Box-Ljung test,as.numeric(data.indices.wind$CWD[, i])
