,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,0.387768995400434,1,0.53347444973687,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
PAMPAHUTA,1.53471621325717,1,0.215406002936569,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
CHUQUIBAMBILLA,1.78059776936553,1,0.182075940934714,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
LAMPA,2.78049000278337,1,0.0954189710921899,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
CABANILLAS,1.88007965908769,1,0.170325094239622,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
HUANCANE,3.28347022974659,1,0.0699808147155492,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
HUARAYA MOHO,2.49669018784728,1,0.11408583829478,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
CAPACHICA,2.32851795259036,1,0.127022761886147,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
TARACO,0.484626561079347,1,0.486334114635456,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
MAZO CRUZ,1.26880118597973,1,0.25999169710296,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
DESAGUADERO,1.2025050946792,1,0.272821564873053,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
LARAQUERI,0.166766990275468,1,0.68300121599076,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
PUTINA,0.946477260301938,1,0.33061760425682,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
ICHUÑA,2.1128244211262,1,0.146069502795186,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
CAPAZO,0.0401118292303307,1,0.841262089819783,Box-Ljung test,as.numeric(data.indices.wind$CWDm[, i])
