,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,1.13378196828729,1,0.286970073605229,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
PAMPAHUTA,0.66307537887242,1,0.41547631388107,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
CHUQUIBAMBILLA,0.000793112204562336,1,0.977532747115843,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
LAMPA,1.97032635537159,1,0.160413225446112,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
CABANILLAS,1.80849356756667,1,0.178689046318067,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
HUANCANE,0.583147850046238,1,0.445081102632818,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
HUARAYA MOHO,0.0735601488173996,1,0.786222029410064,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
CAPACHICA,2.7646134925168,1,0.0963699606090286,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
TARACO,0.391500420088214,1,0.531511769914179,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
MAZO CRUZ,0.332498378094387,1,0.564191642709717,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
DESAGUADERO,0.21097471836017,1,0.646004500185157,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
LARAQUERI,0.175358010777937,1,0.675393222363845,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
PUTINA,0.0897921090043332,1,0.764441612475593,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
ICHUÑA,0.695086066913398,1,0.404439789651416,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
CAPAZO,2.63624962996948,1,0.104449849994828,Box-Ljung test,as.numeric(data.indices.wind$R1mm[, i])
