,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,0.554577522297433,1,0.456453329648599,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
PAMPAHUTA,0.0634200866670896,1,0.801169800814355,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
CHUQUIBAMBILLA,1.19698966728897,1,0.273924177984087,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
LAMPA,2.74279946799205,1,0.0976934846758815,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
CABANILLAS,2.66747212532714,1,0.102418580006571,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
HUANCANE,0.00904542045835204,1,0.924229508164699,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
HUARAYA MOHO,0.0113374130236491,1,0.915203673896591,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
CAPACHICA,5.44773977622933,1,0.0195936605632173,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
TARACO,10.3804968458402,1,0.00127353419014364,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
MAZO CRUZ,0.000459258913020635,1,0.982902381712291,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
DESAGUADERO,0.376222282777395,1,0.539631973323071,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
LARAQUERI,2.43726812348349,1,0.118482409818694,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
PUTINA,0.0449449280669275,1,0.832105326700631,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
ICHUÑA,4.13070382498643,1,0.0421118327042036,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
CAPAZO,6.51693339880098,1,0.010685209203081,Box-Ljung test,as.numeric(data.indices.wind$R95p[, i])
