,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,1.02187550435343,1,0.312074546992389,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
PAMPAHUTA,0.110801228175172,1,0.739233786393231,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
CHUQUIBAMBILLA,1.49743002670991,1,0.221067218096846,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
LAMPA,1.86300073570866,1,0.172278871479245,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
CABANILLAS,2.67632255000066,1,0.101850682547061,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
HUANCANE,0.000136690017297136,1,0.990671784580049,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
HUARAYA MOHO,0.142099519357894,1,0.70620266309652,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
CAPACHICA,7.43919035865373,1,0.00638185941176284,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
TARACO,9.73140538207364,1,0.00181145928154303,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
MAZO CRUZ,0.287430035601047,1,0.591872150255899,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
DESAGUADERO,0.0621880422635517,1,0.803070486351687,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
LARAQUERI,1.74763144222302,1,0.186174770334769,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
PUTINA,1.40168973778336,1,0.236440858267417,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
ICHUÑA,1.4350153789833,1,0.230947666772838,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
CAPAZO,7.02758842496368,1,0.00802633687519283,Box-Ljung test,as.numeric(data.indices.wind$R95pTOT[, i])
