,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,0.0388352372678444,1,0.843775435235947,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
PAMPAHUTA,0.010520135125601,1,0.918306071362931,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
CHUQUIBAMBILLA,2.35064860628659,1,0.125230892607216,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
LAMPA,0.121897761961024,1,0.726985259152096,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
CABANILLAS,1.0112578281582,1,0.314601690805327,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
HUANCANE,0.0787208144612711,1,0.779038465785378,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
HUARAYA MOHO,0.152434798970228,1,0.696219351921994,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
CAPACHICA,0.0083901759626621,1,0.927017517052793,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
TARACO,5.17265090720498,1,0.022945175873649,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
MAZO CRUZ,0.0521227103826957,1,0.819409925391375,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
DESAGUADERO,0.399864963619658,1,0.527159003504146,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
LARAQUERI,0.129379153631186,1,0.719076624037368,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
PUTINA,0.000955660823505979,1,0.975338312841989,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
ICHUÑA,0.473018401850889,1,0.491601830094307,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
CAPAZO,0.17841861984397,1,0.672735790559395,Box-Ljung test,as.numeric(data.indices.wind$RX1day[, i])
