,STATISTIC,PARAM,P.VALUE,METHOD,DATA
PUNO,0.236868188195536,1,0.626477281388084,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
PAMPAHUTA,0.751526717932108,1,0.385993292925098,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
CHUQUIBAMBILLA,1.71117371220167,1,0.190833158138295,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
LAMPA,1.04864968042285,1,0.305818282645937,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
CABANILLAS,4.10088825099315,1,0.0428606903220828,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
HUANCANE,1.60367102597707,1,0.205383747742194,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
HUARAYA MOHO,1.18498897993793,1,0.276342673747605,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
CAPACHICA,2.54900696871112,1,0.110363602225109,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
TARACO,19.1669494722744,1,1.19769242343803e-05,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
MAZO CRUZ,0.876679772772162,1,0.349112678296096,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
DESAGUADERO,0.0829369285997309,1,0.773356136375457,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
LARAQUERI,2.78618443140747,1,0.0950803736931297,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
PUTINA,1.48568851589905,1,0.222886617762859,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
ICHUÑA,0.375354310799939,1,0.540100077856095,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
CAPAZO,13.9854223937788,1,0.000184233511520082,Box-Ljung test,as.numeric(data.indices.wind$SDII[, i])
